bin_left	bin_right	bin_center	total_weighted_count	phi	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12	frac_12_13	frac_13_13	frac_13_14
-26.50000000	-26.00000000	-26.25000000	6.440956246218e-23	1.288191249244e-22	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-26.00000000	-25.50000000	-25.75000000	1.363221075552e-15	2.726442151103e-15	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.812811400909e-02	9.017215451346e-01	1.503408563521e-04
-25.50000000	-25.00000000	-25.25000000	3.866609221419e-12	7.733218442837e-12	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.660367348809e-02	9.078710332308e-01	5.525163700350e-03	1.295808092620e-07
-25.00000000	-24.50000000	-24.75000000	3.269135565383e-10	6.538271130766e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.348392006170e-01	6.496022300885e-02	2.005714446498e-04	4.929487152991e-09
-24.50000000	-24.00000000	-24.25000000	3.936952200203e-09	7.873904400406e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.917323557079e-01	4.841382883819e-01	2.406141573673e-02	6.793934190880e-05	8.315605153685e-10
-24.00000000	-23.50000000	-23.75000000	2.973277047884e-08	5.946554095768e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.749655388158e-01	4.095560522481e-01	1.546407332468e-02	1.433556738536e-05	4.404199845797e-11
-23.50000000	-23.00000000	-23.25000000	2.100615531471e-07	4.201231062943e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.120993493072e-02	6.066879740953e-01	3.391774210101e-01	2.924007568202e-03	6.623941767259e-07	1.489697193001e-12
-23.00000000	-22.50000000	-22.75000000	1.203619506054e-06	2.407239012109e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.606480167609e-02	8.033785889016e-01	1.104039058597e-01	1.526831016105e-04	2.046102275455e-08	6.019406644786e-17
-22.50000000	-22.00000000	-22.25000000	4.820298570142e-06	9.640597140285e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.388959029562e-01	7.506240380611e-01	1.047488933338e-02	5.169649357156e-06	0.000000000000e+00	0.000000000000e+00
-22.00000000	-21.50000000	-21.75000000	1.521532050823e-05	3.043064101646e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.829822261857e-03	6.605747200619e-01	3.359147029572e-01	6.807547190945e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	3.991283359794e-05	7.982566719587e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.058132423251e-02	9.302889980991e-01	4.912836615793e-02	1.311510440911e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	8.896378246580e-05	1.779275649316e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.613327058352e-01	8.344734848745e-01	4.193809290346e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	1.769515869487e-04	3.539031738974e-04	0.000000000000e+00	0.000000000000e+00	5.129756665456e-04	6.096964015837e-01	3.897737100925e-01	1.691265721445e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	3.149407941759e-04	6.298815883518e-04	0.000000000000e+00	0.000000000000e+00	4.559925574118e-03	9.247643605481e-01	7.067571387775e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	6.120198669722e-04	1.224039733944e-03	0.000000000000e+00	0.000000000000e+00	7.268731451203e-02	9.220675707149e-01	5.245114773038e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-19.00000000	-18.50000000	-18.75000000	9.115033894578e-04	1.823006778916e-03	0.000000000000e+00	0.000000000000e+00	4.140171871126e-01	5.859395710012e-01	4.324188625639e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	1.307511177763e-03	2.615022355525e-03	0.000000000000e+00	4.156982705268e-04	8.035912783790e-01	1.959930233505e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	2.079718563018e-03	4.159437126037e-03	0.000000000000e+00	4.676680129346e-03	9.502677964810e-01	4.505552338968e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	3.142147712827e-03	6.284295425654e-03	0.000000000000e+00	4.826614236453e-02	9.460393504014e-01	5.694507234158e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.00000000	-16.50000000	-16.75000000	4.687809356918e-03	9.375618713836e-03	0.000000000000e+00	2.776853222586e-01	7.220519977988e-01	2.626799426187e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.50000000	-16.00000000	-16.25000000	6.935545203360e-03	1.387109040672e-02	7.332811231857e-05	6.627688604095e-01	3.371406463902e-01	1.716508797815e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.00000000	-15.50000000	-15.75000000	1.033308866631e-02	2.066617733263e-02	1.106045531181e-03	8.986595482499e-01	1.002344062190e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.50000000	-15.00000000	-15.25000000	1.527637607138e-02	3.055275214276e-02	1.774332322923e-02	9.619972959011e-01	2.025938086961e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.00000000	-14.50000000	-14.75000000	2.139247687360e-02	4.278495374720e-02	1.468088950700e-01	8.508029791074e-01	2.388125822567e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.50000000	-14.00000000	-14.25000000	2.881806356658e-02	5.763612713316e-02	4.651819858800e-01	5.345664599218e-01	2.515541981741e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.00000000	-13.50000000	-13.75000000	3.784604390717e-02	7.569208781434e-02	7.737343335980e-01	2.262429868185e-01	2.267958339158e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.50000000	-13.00000000	-13.25000000	5.318512953042e-02	1.063702590608e-01	9.339471108830e-01	6.604737333518e-02	5.515781847564e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.00000000	-12.50000000	-12.75000000	6.702977645627e-02	1.340595529125e-01	9.858060318407e-01	1.419396815930e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.50000000	-12.00000000	-12.25000000	6.414152416174e-02	1.282830483235e-01	9.964789307161e-01	3.520077296513e-03	9.919874752916e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.00000000	-11.50000000	-11.75000000	4.331315566275e-02	8.662631132550e-02	9.987275655001e-01	1.272434499965e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.50000000	-11.00000000	-11.25000000	2.243524026011e-02	4.487048052021e-02	9.994060803615e-01	5.939196382968e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.00000000	-10.50000000	-10.75000000	8.566722338911e-03	1.713344467782e-02	9.991872299287e-01	8.127700710838e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-10.50000000	-10.00000000	-10.25000000	2.861755623476e-03	5.723511246953e-03	9.991772011913e-01	8.227988083932e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-10.00000000	-9.50000000	-9.75000000	1.074369178960e-03	2.148738357921e-03	9.993185321850e-01	6.814678149651e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-9.50000000	-9.00000000	-9.25000000	3.715461058191e-04	7.430922116383e-04	9.993944720963e-01	6.055279033219e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-9.00000000	-8.50000000	-8.75000000	1.363287396476e-04	2.726574792953e-04	9.967070936868e-01	3.292906312510e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-8.50000000	-8.00000000	-8.25000000	8.102188660158e-05	1.620437732032e-04	9.999999999993e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-8.00000000	-7.50000000	-7.75000000	4.327809918947e-05	8.655619837894e-05	1.000000000005e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-7.50000000	-7.00000000	-7.25000000	1.313839303840e-05	2.627678607681e-05	9.999999999915e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-7.00000000	-6.50000000	-6.75000000	1.733449293762e-05	3.466898587523e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-6.50000000	-6.00000000	-6.25000000	1.302966485056e-05	2.605932970112e-05	9.999999999915e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-6.00000000	-5.50000000	-5.75000000	7.277782836268e-06	1.455556567254e-05	1.000000000008e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-5.50000000	-5.00000000	-5.25000000	2.529973833876e-06	5.059947667752e-06	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-5.00000000	-4.50000000	-4.75000000	3.933249949184e-06	7.866499898368e-06	9.999999999718e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-4.50000000	-4.00000000	-4.25000000	1.548649048666e-06	3.097298097332e-06	1.000000000036e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
